protein1	protein2	cost
ERMP1	UBD	0.598835
ERMP1	UBC	0.410771
CES1	GUSB	0.598835
CES1	CREB3	0.63215
CES1	BMPR2	0.85922
RCOR1	BCL3	0.598835
RCOR1	NPM1	0.598835
RCOR1	HIST3H3	0.561127
RCOR1	REST	0.275444
RCOR1	HDAC2	0.0918466
RCOR1	SERPINH1	0.598835
RCOR1	PHF21A	0.401749
RCOR1	TAL1	0.409355
RCOR1	SUB1	0.429349
RCOR1	MED12	0.598835
RCOR1	SNAI1	0.362979
RCOR1	TRIP4	0.598835
RCOR1	HIST1H3D	0.45648
RCOR1	MECP2	0.598835
RCOR1	NR2E1	0.598835
RCOR1	HDAC1	0.0433628
RCOR1	SMARCE1	0.340439
RCOR1	SMARCA4	0.598835
RCOR1	ESCO2	0.410771
RCOR1	SMARCC2	0.598835
RCOR1	NR2C1	0.598835
RCOR1	TP53BP1	0.598835
RCOR1	HDAC3	0.598835
RCOR1	OBFC1	0.598835
RCOR1	ZNF217	0.165007
RCOR1	SUMO3	0.598835
RCOR1	EMD	0.598835
RCOR1	SUMO2	0.249941
RCOR1	CTBP2	0.598835
RCOR1	TCF3	0.598835
RCOR1	UBC	0.165007
RCOR1	HSPA4	0.398358
RCOR1	CTBP1	0.332937
RCOR1	ZMYM2	0.45648
RCOR1	GFI1	0.598835
RCOR1	MED28	0.598835
RCOR1	HMG20B	0.501461
RCOR1	MTA3	0.598835
PPP2R5A	BEST1	0.830932
PPP2R5A	ESPL1	0.654948
PPP2R5A	CBX5	0.598835
PPP2R5A	MAPT	0.85922
PPP2R5A	AXIN1	0.332937
PPP2R5A	EIF2AK2	0.598835
PPP2R5A	PTTG1	0.561127
PPP2R5A	BCL2	0.598835
PPP2R5A	PPP2R1A	0.332937
PPP2R5A	TP63	0.85922
PPP2R5A	PPP2R5D	0.63215
PPP2R5A	SHC1	0.85922
PPP2R5A	TLX1	0.598835
PPP2R5A	SET	0.598835
PPP2R5A	PPP2R1B	0.229838
PPP2R5A	DZIP1	0.63215
PPP2R5A	PYGM	0.561127
PPP2R5A	PPP2R5C	0.598835
PPP2R5A	NEK1	0.594442
PPP2R5A	UBC	0.298244
PPP2R5A	SGOL2	0.63215
PPP2R5A	APC	0.73224
PPP2R5A	MAP3K3	0.561127
PPP2R5A	JAK2	0.85922
PPP2R5A	CTLA4	0.472754
PPP2R5A	MYC	0.598835
LRRC2	TP53RK	0.63215
TRA2A	RNPS1	0.594442
TRA2A	HP1BP3	0.654948
TRA2A	SUMO1	0.598835
TRA2A	PRPF6	0.654948
TRA2A	CUL5	0.598835
TRA2A	TAF9	0.598835
TRA2A	BUD31	0.654948
TRA2A	NFIA	0.654948
TRA2A	IK	0.654948
TRA2A	SF3B6	0.654948
TRA2A	PAXIP1	0.598835
TRA2A	YTHDC1	0.594442
TRA2A	HNRNPU	0.654948
TRA2A	PPP1CC	0.492989
TRA2A	CDK6	0.441963
TRA2A	LBP	0.594442
TRA2A	PRPF40A	0.654948
TRA2A	BARD1	0.598835
TRA2A	PLEC	0.654948
TRA2A	SEPT7	0.654948
TRA2A	COPS5	0.598835
TRA2A	SRPK2	0.561127
TRA2A	U2SURP	0.492989
TRA2A	EED	0.598835
TRA2A	HNRNPM	0.654948
TRA2A	YWHAG	0.344359
TRA2A	DHX15	0.492989
TRA2A	NUDT21	0.492989
TRA2A	CRABP1	0.492989
TRA2A	S100A9	0.654948
TRA2A	SF3B3	0.654948
TRA2A	C11ORF58	0.492989
TRA2A	RNF2	0.598835
TRA2A	SRSF5	0.654948
TRA2A	SUMO2	0.410771
TRA2A	CDK2AP2	0.492989
TRA2A	UBC	0.221602
TRA2A	HNRNPC	0.654948
TRA2A	MAGOH	0.598835
TRA2A	NCSTN	0.654948
TRA2A	SRSF10	0.572837
TRA2A	SAP18	0.654948
TRA2A	RBM25	0.654948
TRA2A	SF3A1	0.654948
TRA2A	COMMD3-BMI1	0.598835
TRA2A	EZH2	0.598835
TRA2A	SUZ12	0.598835
TRA2A	CDC5L	0.654948
TRA2A	NXF1	0.594442
TRA2A	SEPT2	0.654948
TRA2A	PHGDH	0.654948
CUL9	UBE2G2	0.73985
CUL9	TP53	0.0520834
CUL9	UBE2L3	0.393241
CUL9	SOX2	0.598835
CUL9	NEDD8	0.598835
CUL9	UBE2E2	0.85922
CUL9	CUL7	0.298244
CUL9	PLXNB3	0.553316
CUL9	UBC	0.0821589
CUL9	RBX1	0.410771
CUL9	SIRT7	0.598835
LRRC57	COL7A1	0.654948
LRRC57	UBC	0.120851
LRP12	ACTN2	0.492041
LRP12	NMRK2	0.492041
LRP12	SNAPIN	0.492041
LRP12	MYOT	0.492041
LRP12	GNB2L1	0.492041
LRP12	ZFYVE9	0.492041
LRP12	UBC	0.410771
BCL3	TBL1XR1	0.598835
BCL3	GTF2B	0.549451
BCL3	MAPK3	0.85922
BCL3	CREBBP	0.85922
BCL3	RUVBL2	0.402371
BCL3	JUN	0.388167
BCL3	NCOA1	0.594442
BCL3	STAT3	0.598835
BCL3	ANKRD28	0.63215
BCL3	BARD1	0.413127
BCL3	RELB	0.472309
BCL3	FBXW8	0.598835
BCL3	COPS5	0.393229
BCL3	RELA	0.537305
BCL3	EP300	0.458237
BCL3	GTF2A1	0.561127
BCL3	HDAC6	0.585069
BCL3	HDAC1	0.402371
BCL3	SHC1	0.85922
BCL3	PSMB1	0.598835
BCL3	PIR	0.398358
BCL3	RAB9A	0.794225
BCL3	RXRA	0.419331
BCL3	BAG2	0.598835
BCL3	HDAC3	0.402371
BCL3	NCOA6	0.561127
BCL3	LCK	0.409355
BCL3	CTBP2	0.342428
BCL3	GSK3B	0.441751
BCL3	UBC	0.298244
BCL3	CTNNB1	0.598835
BCL3	NFKB2	0.13607
BCL3	RUVBL1	0.598835
BCL3	N4BP2	0.443929
BCL3	FOS	0.443929
BCL3	KAT5	0.296081
BCL3	STAT1	0.598835
BCL3	HSPA4	0.598835
BCL3	FYN	0.561127
BCL3	CTBP1	0.332937
BCL3	REL	0.598835
BCL3	CYLD	0.598835
BCL3	BCL10	0.409355
MAGEA4	WBP2	0.443583
MAGEA4	ZBTB17	0.457403
MAGEA4	TEKT4	0.331192
MAGEA4	APP	0.561127
MAGEA4	TK1	0.443583
MAGEA4	TRIM69	0.413476
MAGEA4	GTF3C1	0.443583
MAGEA4	BEX2	0.443583
MAGEA4	UBXN6	0.443583
MAGEA4	UQCRB	0.413476
MAGEA4	PIAS2	0.598835
MAGEA4	HLA-A	0.465697
MAGEA4	UBC	0.298244
MAGEA4	POT1	0.594442
MAGEA4	AMOTL2	0.443583
MAGEA4	ARNT2	0.594442
MAGEA4	TIGD5	0.443583
MAGEA4	AMOT	0.443583
CETN2	POU5F1	0.598835
CETN2	FBXL13	0.598835
CETN2	NAA40	0.654948
CETN2	USP49	0.598835
CETN2	CDCA5	0.654948
CETN2	FAM96B	0.598835
CETN2	PNMA5	0.392016
CETN2	CCP110	0.475767
CETN2	POC5	0.443583
CETN2	USP44	0.598835
CETN2	PRMT6	0.492989
CETN2	UBC	0.221602
CETN2	SFI1	0.345498
CETN2	ARSA	0.594442
CETN2	RAD23B	0.598835
CETN2	XPC	0.265957
ING2	SMARCC1	0.598835
ING2	HIST3H3	0.432548
ING2	TP53	0.598835
ING2	HDAC2	0.598835
ING2	SMAD2	0.598835
ING2	SUMO1	0.45648
ING2	COPS2	0.45648
ING2	ARID4B	0.598835
ING2	H3F3B	0.598835
ING2	APP	0.561127
ING2	SUDS3	0.598835
ING2	HIST1H4D	0.85922
ING2	EP300	0.394133
ING2	SMURF1	0.384055
ING2	HDAC1	0.221602
ING2	WDR5	0.598835
ING2	BRMS1L	0.598835
ING2	SMAD1	0.85922
ING2	SMARCC2	0.598835
ING2	SKIL	0.598835
ING2	SAP30	0.598835
ING2	UBC	0.257372
ING2	SMURF2	0.85922
ING2	RBBP7	0.598835
ING2	SAP130	0.598835
ING2	PRMT5	0.654948
ING2	ACTL6A	0.598835
ING2	RBBP4	0.598835
ING2	SIRT1	0.598835
ING2	SIN3A	0.298244
NID2	MDK	0.598835
NID2	KRTAP10-3	0.594442
NID2	PRELP	0.561127
NID2	HSPG2	0.484455
NID2	LAMC1	0.549451
NID2	COL1A1	0.561127
NID2	SKIL	0.594442
NID2	TNC	0.654948
SEC31B	COMMD3-BMI1	0.598835
SEC31B	MYC	0.598835
SEC31B	SF3A2	0.598835
GARS	MAP3K10	0.492989
GARS	TROVE2	0.654948
GARS	UGDH	0.654948
GARS	ME1	0.654948
GARS	CUL5	0.598835
GARS	CORO1C	0.654948
GARS	PDIA3	0.654948
GARS	HSPB1	0.63215
GARS	HIST1H4D	0.654948
GARS	CTTN	0.654948
GARS	IKBKE	0.598835
GARS	CDK2	0.598835
GARS	CELSR2	0.565996
GARS	NARS	0.654948
GARS	NCBP1	0.654948
GARS	FBXO6	0.598835
GARS	GTF2A1	0.654948
GARS	TTC1	0.654948
GARS	VBP1	0.654948
GARS	SHMT1	0.654948
GARS	GFPT1	0.654948
GARS	IARS	0.426389
GARS	PSMA3	0.598835
GARS	ZYX	0.654948
GARS	RARS	0.654948
GARS	TOM1	0.654948
GARS	YWHAZ	0.598835
GARS	VAT1	0.654948
GARS	GANAB	0.654948
GARS	CARS	0.654948
GARS	CTNNA1	0.654948
GARS	PSME2	0.654948
GARS	USP11	0.654948
GARS	DCP2	0.598835
GARS	APEH	0.654948
GARS	NEDD8	0.598835
GARS	EEF1D	0.398358
GARS	UBA1	0.654948
GARS	ELF3	0.598835
GARS	QARS	0.654948
GARS	UBC	0.0739219
GARS	GORASP2	0.654948
GARS	CD44	0.73985
GARS	TNRC6B	0.598835
GARS	KHSRP	0.654948
GARS	DARS	0.654948
GARS	STAU1	0.598835
GARS	HSPA4L	0.654948
GARS	BOP1	0.654948
GARS	HIRIP3	0.654948
GARS	XPO7	0.654948
GARS	OSBP	0.654948
GARS	TRAF6	0.598835
GARS	AARS	0.654948
GARS	SNX1	0.654948
GARS	MAPK8	0.594442
TRIM11	UBE2N	0.472754
TRIM11	UBE2D3	0.472754
TRIM11	TRIM35	0.492989
TRIM11	PAX6	0.565996
TRIM11	MTRNR2L1	0.472754
TRIM11	TRIM27	0.594442
TRIM11	UBC	0.165007
TRIM11	UBE2D1	0.472754
TRIM11	MT-RNR2	0.717078
TRIM11	TRIM29	0.594442
TRIM11	RNF126	0.594442
TRIM11	UBE2E1	0.472754
ASB10	RPS10	0.598835
ASB10	RPL38	0.598835
ASB10	CUL5	0.598835
ASB10	ARFGAP1	0.492989
ASB10	SLC25A1	0.598835
ASB10	AGR3	0.492989
ASB10	HSPB1	0.598835
ASB10	ARL1	0.598835
ASB10	PSMA4	0.598835
ASB10	TUFM	0.598835
ASB10	HSPA1B	0.410771
ASB10	STUB1	0.598835
ASB10	PGAM5	0.598835
ASB10	SLC25A3	0.598835
ASB10	TCEB1	0.598835
ASB10	TCEB2	0.598835
ASB10	EMD	0.598835
ASB10	AP1G1	0.598835
ASB10	CPVL	0.598835
ASB10	UBC	0.598835
ASB10	SLC25A5	0.598835
ASB10	TUBB6	0.598835
ASB10	MRPL23	0.492989
MRPL1	GOPC	0.443583
MRPL1	SDHA	0.654948
MRPL1	DLAT	0.654948
MRPL1	MRPL12	0.654948
MRPL1	HSPA1L	0.654948
MRPL1	APP	0.561127
MRPL1	TUFM	0.654948
MRPL1	MRPL11	0.654948
MRPL1	MRPL4	0.654948
MRPL1	SOX2	0.598835
MRPL1	ICT1	0.598835
MRPL1	ACAD9	0.654948
MRPL1	UBC	0.298244
MRPL1	MSLN	0.654948
MRPL1	MMGT1	0.654948
MRPL1	MRPS7	0.654948
PTGES	PTGER1	0.85922
PTGES	UBC	0.598835
IPO5	NPM1	0.598835
IPO5	NUP98	0.830932
IPO5	HDAC2	0.598835
IPO5	FBXO33	0.598835
IPO5	ASB15	0.598835
IPO5	RPL23A	0.520073
IPO5	CFTR	0.598835
IPO5	HUWE1	0.598835
IPO5	KPNB1	0.654948
IPO5	IPO4	0.654948
IPO5	GABARAPL2	0.45648
IPO5	TNFAIP8	0.654948
IPO5	ITGA4	0.598835
IPO5	TXNRD1	0.654948
IPO5	NBN	0.598835
IPO5	PMS1	0.598835
IPO5	MAP1LC3C	0.45648
IPO5	MAP1LC3B	0.45648
IPO5	BHLHB9	0.530378
IPO5	RPL7	0.354934
IPO5	NUP62	0.830932
IPO5	FBXO6	0.598835
IPO5	NOTCH1	0.598835
IPO5	LAS1L	0.598835
IPO5	EZR	0.654948
IPO5	CAB39	0.63215
IPO5	NUP214	0.549451
IPO5	SRP19	0.45648
IPO5	ACD	0.594442
IPO5	GABARAPL1	0.45648
IPO5	CA9	0.598835
IPO5	TANK	0.598835
IPO5	EGFR	0.598835
IPO5	RPS7	0.85922
IPO5	DPPA3	0.830932
IPO5	TINF2	0.594442
IPO5	SOX2	0.598835
IPO5	TERF1	0.594442
IPO5	DTNBP1	0.594442
IPO5	MCTS1	0.654948
IPO5	UBA1	0.654948
IPO5	SUMO2	0.298244
IPO5	MAP1LC3A	0.598835
IPO5	USP50	0.598835
IPO5	CUL7	0.598835
IPO5	UBC	0.0581152
IPO5	BAP1	0.598835
IPO5	FN1	0.598835
IPO5	RAG2	0.85922
IPO5	STAU1	0.598835
IPO5	MEPCE	0.598835
IPO5	SIRT7	0.598835
IPO5	PELP1	0.501461
IPO5	RAN	0.376755
IPO5	RPL5	0.85922
IPO5	RPL13	0.85922
IPO5	RPL23	0.85922
IPO5	HEXB	0.654948
TMTC1	ZDHHC17	0.594442
OPN4	ARR3	0.85922
LARP1B	UBD	0.598835
LARP1B	APP	0.561127
LARP1B	KIF2A	0.443583
LARP1B	TRIM69	0.443583
LARP1B	UBC	0.391484
LARP1B	POLR2J	0.594442
POTEB2	UBC	0.598835
EDARADD	UBE2I	0.443583
EDARADD	RNF111	0.443583
EDARADD	SUMO1	0.443583
EDARADD	EDAR	0.549451
EDARADD	WDYHV1	0.443583
EDARADD	SHPRH	0.443583
EDARADD	TAB2	0.472754
EDARADD	SDCBP	0.443583
EDARADD	MAP3K7	0.598835
EDARADD	TRAF2	0.407758
EDARADD	TRAF6	0.249965
ZBTB44	POLI	0.392016
ZBTB44	GLRX3	0.443583
ZBTB44	FAM124A	0.443583
ZBTB44	AP1M1	0.443583
ZBTB44	SMAD1	0.763579
ZBTB44	ENO1	0.63215
ZBTB44	SMAD7	0.763579
ZBTB44	RAD23A	0.392016
ZBTB44	SMURF2	0.763579
ZBTB44	SMYD1	0.392016
ZBTB44	WDFY3	0.443583
ZBTB44	PSMA6	0.392016
SGCD	FLNC	0.298027
SGCD	SGCB	0.730265
SGCD	SERPINA3	0.63215
SGCD	SGCA	0.730265
SGCD	SGCG	0.730265
SGCD	ADA	0.594442
FAM9C	TPM3	0.392016
SPON1	APLP2	0.598835
SPON1	APP	0.598835
TMBIM4	ORMDL1	0.598835
TMBIM4	CCDC47	0.475767
TMBIM4	SUN2	0.598835
TMBIM4	CMTM6	0.598835
TMBIM4	SLC27A4	0.475767
TMBIM4	RPN2	0.598835
TMBIM4	NDUFB6	0.598835
TMBIM4	HACD3	0.598835
TMBIM4	TMCO1	0.598835
TMBIM4	DDOST	0.598835
TMBIM4	HNRNPL	0.598835
TMBIM4	RANGAP1	0.598835
TMBIM4	SURF4	0.598835
TMBIM4	EIF3L	0.598835
TMBIM4	MYCBP	0.598835
TMBIM4	COX5A	0.598835
TMBIM4	PPIB	0.475767
TMBIM4	PRPSAP1	0.598835
TMBIM4	OTUD4	0.598835
TMBIM4	MFN1	0.598835
TMBIM4	SMIM11	0.598835
TMBIM4	TXN	0.598835
TMBIM4	COX4I1	0.475767
TMBIM4	PSMB5	0.598835
TMBIM4	PEBP1	0.598835
TMBIM4	VKORC1	0.594442
TMBIM4	MTX1	0.475767
TMBIM4	EMC1	0.598835
CLDN7	HGD	0.492989
CLDN7	TJP1	0.561127
CLDN7	RHOXF2	0.452941
CLDN7	UBC	0.598835
CLDN7	EPCAM	0.85922
CLDN7	SYNE4	0.392016
CLDN7	LNX1	0.598835
MSI2	HNRNPH2	0.443583
MSI2	H2AFX	0.598835
MSI2	MEOX2	0.443583
MSI2	RPA2	0.598835
MSI2	GRB2	0.594442
MSI2	RPA3	0.598835
MSI2	SOX2	0.598835
MSI2	RPA1	0.598835
MSI2	RNF2	0.598835
MSI2	SUMO2	0.598835
MSI2	UBC	0.221602
MSI2	COMMD3-BMI1	0.598835
MSI2	SUZ12	0.598835
KLK8	KRTAP10-3	0.594442
KLK8	RGS2	0.492989
KLK8	ZDHHC17	0.374252
VWA9	INTS1	0.598835
VWA9	INTS3	0.598835
VWA9	SOX2	0.598835
VWA9	UBC	0.221602
VWA9	HDGF	0.598835
VWA9	INTS6	0.598835
NPM1	H1FX	0.598835
NPM1	CSNK2A1	0.561127
NPM1	LAMP2	0.654948
NPM1	NUMA1	0.598835
NPM1	HIST3H3	0.561127
NPM1	SRSF1	0.598835
NPM1	DDX3X	0.598835
NPM1	LYAR	0.598835
NPM1	NUP98	0.598835
NPM1	EIF3I	0.598835
NPM1	RPL10L	0.654948
NPM1	IRS1	0.85922
NPM1	KDR	0.598835
NPM1	ARRB2	0.598835
NPM1	EIF2S1	0.598835
NPM1	GADD45A	0.73985
NPM1	CENPA	0.298244
NPM1	CDKN1A	0.429349
NPM1	SQSTM1	0.598835
NPM1	MRPL24	0.598835
NPM1	TP53	0.138546
NPM1	HMGA1	0.376967
NPM1	HDAC2	0.598835
NPM1	CDK5RAP3	0.598835
NPM1	FLNB	0.598835
NPM1	NUDCD1	0.598835
NPM1	PPA1	0.598835
NPM1	CPSF3	0.598835
NPM1	EEF2	0.598835
NPM1	SWAP70	0.654948
NPM1	UQCRH	0.407758
NPM1	PARD6B	0.598835
NPM1	RYK	0.598835
NPM1	SUMO1	0.221602
NPM1	COPS2	0.598835
NPM1	NUP50	0.598835
NPM1	COX8A	0.443583
NPM1	PRPF6	0.654948
NPM1	H2AFX	0.598835
NPM1	CUL5	0.598835
NPM1	KIF11	0.598835
NPM1	BANP	0.598835
NPM1	MRPL12	0.598835
NPM1	MID1	0.598835
NPM1	MCC	0.598835
NPM1	HUWE1	0.598835
NPM1	PSMD4	0.598835
NPM1	PSMD12	0.598835
NPM1	IPO9	0.598835
NPM1	CASKIN1	0.598835
NPM1	MRPL53	0.598835
NPM1	NPM3	0.257131
NPM1	PTPN14	0.598835
NPM1	IGSF8	0.598835
NPM1	SPIN1	0.598835
NPM1	FLNA	0.598835
NPM1	RPL14	0.654948
NPM1	UBL4A	0.598835
NPM1	HSPA5	0.598835
NPM1	YWHAE	0.410771
NPM1	APP	0.561127
NPM1	LGALS1	0.598835
NPM1	CHCHD3	0.598835
NPM1	HSPB1	0.598835
NPM1	OSBPL1A	0.598835
NPM1	GID8	0.598835
NPM1	HNRNPU	0.436465
NPM1	AURKB	0.373833
NPM1	CLTC	0.598835
NPM1	DNAJC13	0.598835
NPM1	CD81	0.598835
NPM1	PHB	0.598835
NPM1	CHCHD6	0.598835
NPM1	ITGA4	0.598835
NPM1	PPP1CC	0.598835
NPM1	FLNC	0.598835
NPM1	PC	0.598835
NPM1	HIST1H4D	0.391484
NPM1	HNRNPR	0.654948
NPM1	IRF1	0.45648
NPM1	CTTN	0.598835
NPM1	PRKCZ	0.598835
NPM1	STK38	0.598835
NPM1	AKT1	0.45648
NPM1	EIF3M	0.598835
NPM1	IKBKE	0.598835
NPM1	EIF2AK2	0.537305
NPM1	ELMO2	0.598835
NPM1	PAN2	0.598835
NPM1	CDK2	0.561127
NPM1	PROS1	0.598835
NPM1	PTBP1	0.598835
NPM1	JAK1	0.598835
NPM1	TUFM	0.598835
NPM1	DNAJA2	0.598835
NPM1	YWHAQ	0.343981
NPM1	VCP	0.598835
NPM1	NUP62	0.598835
NPM1	CEP152	0.598835
NPM1	PYGB	0.598835
NPM1	RPA2	0.598835
NPM1	NAP1L1	0.654948
NPM1	BARD1	0.598835
NPM1	RNH1	0.598835
NPM1	FAM129A	0.397933
NPM1	VASP	0.598835
NPM1	HIST1H1C	0.598835
NPM1	TRIM28	0.598835
NPM1	NIPSNAP1	0.598835
NPM1	FBXO6	0.598835
NPM1	CCDC8	0.598835
NPM1	BRCA1	0.598835
NPM1	LAMB2	0.598835
NPM1	FBXO25	0.598835
NPM1	CENPF	0.598835
NPM1	S100A10	0.598835
NPM1	COPS5	0.598835
NPM1	RELA	0.594442
NPM1	MRPL38	0.598835
NPM1	GRB2	0.391484
NPM1	PADI4	0.388868
NPM1	EP300	0.561127
NPM1	HIST1H3D	0.286822
NPM1	RRP1B	0.598835
NPM1	CHCHD4	0.598835
NPM1	COPE	0.598835
NPM1	MRPL28	0.598835
NPM1	SNRPF	0.598835
NPM1	COPS6	0.598835
NPM1	TFAP2A	0.409355
NPM1	PPP2R1A	0.598835
NPM1	SREK1	0.598835
NPM1	IMPDH2	0.598835
NPM1	CBX2	0.598835
NPM1	TRRAP	0.598835
NPM1	HNRNPM	0.598835
NPM1	TRIM21	0.598835
NPM1	RPS6	0.654948
NPM1	ZYX	0.654948
NPM1	PSMD1	0.598835
NPM1	UTRN	0.598835
NPM1	TCERG1	0.598835
NPM1	CUL1	0.598835
NPM1	MRPL43	0.598835
NPM1	TOP1	0.598835
NPM1	DDX21	0.436465
NPM1	ARRB1	0.598835
NPM1	GRN	0.598835
NPM1	PRKAR1A	0.598835
NPM1	GAPDH	0.410771
NPM1	YWHAZ	0.410771
NPM1	KEAP1	0.598835
NPM1	HDAC1	0.475767
NPM1	PSME3	0.598835
NPM1	AFF1	0.598835
NPM1	MRPL46	0.598835
NPM1	MRPL11	0.598835
NPM1	DHX15	0.598835
NPM1	SENP3	0.398358
NPM1	GNAI2	0.594442
NPM1	SLC25A3	0.598835
NPM1	HIST2H2AC	0.561127
NPM1	GRB7	0.598835
NPM1	PTRF	0.598835
NPM1	DOCK4	0.598835
NPM1	SHC1	0.85922
NPM1	SRRT	0.598835
NPM1	ARMCX3	0.654948
NPM1	TPR	0.598835
NPM1	PINX1	0.598835
NPM1	KPNA1	0.654948
NPM1	MRPL50	0.598835
NPM1	NUDT21	0.598835
NPM1	TAB2	0.598835
NPM1	HMGA2	0.376967
NPM1	LIMCH1	0.654948
NPM1	RPL10	0.598835
NPM1	HEMGN	0.443981
NPM1	UNC5C	0.598835
NPM1	FGD6	0.598835
NPM1	PKM	0.598835
NPM1	TAB1	0.598835
NPM1	SMARCA4	0.598835
NPM1	CFL1	0.598835
NPM1	RPS5	0.598835
NPM1	MRPS26	0.598835
NPM1	RPA3	0.598835
NPM1	MAP1B	0.598835
NPM1	HNRNPA0	0.598835
NPM1	GZMM	0.561127
NPM1	EIF3H	0.598835
NPM1	CUL2	0.598835
NPM1	CDC14A	0.598835
NPM1	DZIP1	0.598835
NPM1	BAG2	0.598835
NPM1	SURF4	0.654948
NPM1	ENO1	0.598835
NPM1	PLK1	0.830932
NPM1	PA2G4	0.249941
NPM1	RPS28	0.598835
NPM1	DYRK2	0.598835
NPM1	ICAM1	0.598835
NPM1	SDPR	0.598835
NPM1	RPA1	0.598835
NPM1	TTC27	0.598835
NPM1	RPL24	0.654948
NPM1	MYCBP	0.598835
NPM1	SAMM50	0.598835
NPM1	EEF1B2	0.598835
NPM1	KCTD17	0.598835
NPM1	NCOA6	0.63215
NPM1	DCUN1D1	0.598835
NPM1	DSTN	0.598835
NPM1	EIF4A1	0.598835
NPM1	APEX1	0.598835
NPM1	FANCC	0.598835
NPM1	EEF1D	0.598835
NPM1	ARF1	0.765937
NPM1	GOLGA3	0.598835
NPM1	SUMO3	0.298244
NPM1	LOC102725214	0.598835
NPM1	IMPG1	0.598835
NPM1	CTCF	0.4681
NPM1	USF2	0.598835
NPM1	PRKCA	0.598835
NPM1	YY1	0.45648
NPM1	RANBP6	0.598835
NPM1	ACACA	0.598835
NPM1	RPS12	0.598835
NPM1	SUMO2	0.298244
NPM1	ATP5A1	0.598835
NPM1	ERG	0.45648
NPM1	OTUB1	0.598835
NPM1	MRPL54	0.598835
NPM1	TAF3	0.598835
NPM1	USP36	0.45648
NPM1	AURKA	0.510955
NPM1	KCTD5	0.598835
NPM1	ARHGAP5	0.598835
NPM1	MRPS30	0.598835
NPM1	ICT1	0.598835
NPM1	PRKCI	0.598835
NPM1	SNRPD2	0.598835
NPM1	RPLP0	0.598835
NPM1	RB1	0.598835
NPM1	PARK7	0.598835
NPM1	CUL7	0.598835
NPM1	FMNL1	0.598835
NPM1	NOP2	0.85922
NPM1	DOT1L	0.598835
NPM1	TUBB3	0.598835
NPM1	UBC	0.0314338
NPM1	POLR2E	0.598835
NPM1	NOP56	0.598835
NPM1	NCAPG	0.598835
NPM1	XPO1	0.690083
NPM1	AKAP11	0.598835
NPM1	CDC37	0.598835
NPM1	NAP1L4	0.654948
NPM1	ACY1	0.594442
NPM1	CPSF2	0.598835
NPM1	FUS	0.598835
NPM1	ABCC1	0.594442
NPM1	SLC25A5	0.598835
NPM1	TCP1	0.598835
NPM1	CTNNBL1	0.598835
NPM1	EIF3E	0.407758
NPM1	KCTD2	0.598835
NPM1	CD4	0.598835
NPM1	SIAH1	0.598835
NPM1	PPIL4	0.598835
NPM1	PSMC4	0.407758
NPM1	HSPA4	0.598835
NPM1	MRPL44	0.598835
NPM1	PPID	0.598835
NPM1	RPL6	0.654948
NPM1	COPB1	0.598835
NPM1	CSNK2B	0.598835
NPM1	CPSF1	0.598835
NPM1	CCT2	0.598835
NPM1	YBX1	0.410771
NPM1	CALU	0.598835
NPM1	S100A11	0.598835
NPM1	TUBA1C	0.598835
NPM1	FN1	0.598835
NPM1	HDAC5	0.598835
NPM1	GOLGA2	0.598835
NPM1	PIK3R1	0.598835
NPM1	RBBP4	0.598835
NPM1	STAU1	0.598835
NPM1	EPAS1	0.598835
NPM1	MRPL49	0.598835
NPM1	MAP3K14	0.598835
NPM1	PRMT2	0.598835
NPM1	HABP4	0.73224
NPM1	SIRT7	0.598835
NPM1	PELP1	0.443981
NPM1	CDK1	0.765937
NPM1	TXNDC12	0.598835
NPM1	ELF4	0.45648
NPM1	ZNF668	0.598835
NPM1	GRWD1	0.598835
NPM1	MRPL52	0.598835
NPM1	FASN	0.598835
NPM1	EEF1A1	0.598835
NPM1	RPL5	0.598835
NPM1	GZF1	0.598835
NPM1	PRDX4	0.598835
NPM1	USP15	0.598835
NPM1	NOS2	0.598835
NPM1	HAND2	0.594442
NPM1	YBX3	0.598835
NPM1	TXN	0.598835
NPM1	TRMT61A	0.654948
NPM1	EEF1G	0.598835
NPM1	SIRT1	0.598835
NPM1	OSBP	0.654948
NPM1	TRAF6	0.598835
NPM1	CUL4A	0.598835
NPM1	AGR2	0.598835
NPM1	LGR4	0.598835
NPM1	MRPL18	0.598835
NPM1	CNBP	0.598835
KIF28P	UBC	0.598835
KRTAP10-1	KRTAP26-1	0.594442
KRTAP10-1	OTX1	0.594442
KRTAP10-1	PIN1	0.594442
KRTAP10-1	NPDC1	0.594442
KRTAP10-1	SPRY1	0.594442
KRTAP10-1	MOBP	0.594442
KRTAP10-1	LCE3E	0.594442
KRTAP10-1	HSD3B7	0.594442
KRTAP10-1	ADAMTSL4	0.594442
KRTAP10-1	ZNF559	0.594442
KRTAP10-1	FAM76B	0.594442
KRTAP10-1	CHIC2	0.594442
KRTAP10-1	KRTAP4-2	0.594442
KRTAP10-1	SPATA8	0.594442
KRTAP10-1	MEOX2	0.594442
KRTAP10-1	SPRY2	0.594442
KRTAP10-1	KRTAP2-4	0.594442
KRTAP10-1	KRTAP3-2	0.594442
KRTAP10-1	MAPKBP1	0.594442
KRTAP10-1	ZNF329	0.594442
KRTAP10-1	GLRX3	0.594442
KRTAP10-1	KRTAP10-3	0.594442
